country_code,reference_year,total_current_expenditure(PPP),total_current_revenues(PPP),total_academic_staff(FTE),total_staff_(FTE),total_students_enrolled_ISCED_5-7,total_graduates_ISCED_5-7,total_students_enrolled_at_ISCED_8,total_graduates_at_ISCED_8,erasmus_total_incoming_students,erasmus_total_outgoing_students,total_core_budget(PPP),student_fees_funding(PPP),total_third_party_funding(PPP),share_of_women_academic_staff,share_of_women_students_ISCED_5-7,PhD_intensity,share_of_foreigners_students_ISCED_5-7
HU,2014,53045165.4495904,65376248.99608077,335.3788461538461,900.5230769230772,5679.0192307692305,1349.2884615384614,137.1153846153846,17.76923076923077,103.48076923076923,102.59615384615384,36057477.21528268,0.0,3021479.6065990394,0.3970761901365385,0.48621302264423083,0.005324489558307693,0.06643140333440385
HU,2015,46224475.24646,68817528.31021999,354.8280000000001,967.734,5673.4,1332.32,144.68,19.58,118.78,105.28,38791300.67514,0.0,1324244.3493569999,0.4090918447359997,0.48226911302400005,0.007280888141200001,0.053616788311019986
HU,2016,0.0,0.0,340.5264150943394,939.9275471698115,5248.7169811320755,1248.8867924528302,138.56603773584905,23.528301886792452,108.60377358490567,103.9622641509434,0.0,0.0,0.0,0.3985408997339623,0.5365692567075472,0.012385180481849058,0.08801295642037736
IE,2011,76266744.88462962,79252593.72822224,456.907037037037,840.2240740740739,6480.777777777777,2025.2222222222222,326.74074074074076,53.333333333333336,155.2962962962963,99.62962962962963,25850905.104148146,30250021.24907406,23151667.37374815,0.4271715463444445,0.5358863890962964,0.015046075041925929,0.11577433429851852
IE,2012,74272300.37325926,79100492.40566665,463.644074074074,842.01962962963,6727.333333333333,2119.185185185185,302.1111111111111,56.407407407407405,167.74074074074073,100.03703703703704,24011257.078851853,31600094.249814812,23489141.074716672,0.4534167974851852,0.532374211788889,0.016328216187518518,0.12834074020444447
IE,2013,76533563.50640742,80823393.26744442,455.7707407407408,838.5581481481485,6851.592592592592,2247.185185185185,292.4074074074074,63.81481481481482,176.62962962962962,108.0,22330500.7871111,33716114.326222226,24776778.15292074,0.4586556500518519,0.5091382075148149,0.015434452012000001,0.12964116780629634
IE,2014,64790969.08348147,66556986.29977779,472.7481481481482,855.318837037037,7032.148148148148,2399.222222222222,302.1111111111111,64.44444444444444,188.74074074074073,118.74074074074075,17939555.48748149,29838625.55229629,18778805.2607274,0.45787119025185197,0.5120257447296297,0.016520304686851853,0.12998632923074072
IE,2015,80742733.84407406,82329785.90329628,482.11925925925925,871.9981481481483,7252.7037037037035,2327.925925925926,309.8888888888889,52.370370370370374,203.44444444444446,122.77777777777777,20105145.28562963,37422675.839185186,24801964.782098882,0.4690814333999999,0.538886165462963,0.01318731784885185,0.1258984476318148
IE,2016,86025402.67608,88082990.88192001,537.0572,966.9295999999998,8040.28,2678.4,334.2,62.08,224.32,146.44,21603778.050160002,40888227.60504001,25590985.232352,0.449890260964,0.5073979900960001,0.013802584758560001,0.11959277271228003
IS,2011,0.0,0.0,0.0,0.0,2608.4285714285716,0.0,64.28571428571429,0.0,65.0,37.285714285714285,0.0,0.0,0.0,0.0,0.4342609766142857,0.0,0.0
